ISO3,year,gdp_growth,resource_rents,investment,trade_openness,fdi,inflation,govt_debt,unemployment,pop_growth
UMC,2002,4.86475919995971,4.44881716599808,25.8856617464543,48.8308594289528,2.75178070695549,,,6.269505683582,0.897792802154781
UMC,2003,5.94126759667995,4.61142536734496,27.5915623725516,54.0413079679727,2.48085505322278,,,6.384868439041,0.869155962789881
UMC,2004,7.89021521972757,6.34200337828747,29.1338843026729,59.3494212601276,2.80696814402587,,,6.2300670099496,0.869654478922375
UMC,2005,7.58111506944297,7.56215698372009,28.5468505235076,60.8011770145163,3.37300947786376,,,6.2232261928625,0.863485642969324
UMC,2006,8.62400866759934,8.09566363983286,29.0352359423828,61.5280610647733,3.27299664276305,,,5.97689067501387,0.824386652978004
UMC,2007,9.43196907169563,8.11910583886915,29.9888722347658,59.7632633960464,3.68469484202387,,,5.89115862866688,0.752460958512945
UMC,2008,6.31332594891273,10.4088667345431,31.8289613848258,58.2503689563174,3.33827018163236,,,5.86352487156284,0.800097287009485
UMC,2009,3.53562271484726,5.47867417632517,32.609411213366,48.1119418220704,2.35303124095817,,,6.18449230113664,0.812950150647403
UMC,2010,8.54083082585674,7.15556951546817,33.8943674288794,51.7572368823425,3.31169773123577,,,5.88407295714127,0.798255018018448
UMC,2011,6.91230216658607,8.55824953689425,34.4651272205824,53.1476528157562,3.23339766883536,,,5.69006609140626,0.823344491997743
UMC,2012,5.78004359971989,6.49138933796069,34.7505580642778,51.7870217514451,2.7890436618112,,,5.59323336401879,0.906967733816151
UMC,2013,5.66741400374934,5.40700927249732,35.3479667239225,50.3500252988917,2.85011971368499,,,5.5453680696358,0.915957203261257
UMC,2014,4.98650926608531,4.56193318229983,35.3757267422505,49.0484726298494,2.4229430554879,,,5.56083800221772,0.873451577178723
UMC,2015,4.50970067372548,2.50916737680747,34.6688597472868,45.5281569598987,2.31738116767499,,,5.77732297766258,0.830608839693522
UMC,2016,4.56594224373166,2.28577547089521,34.2367640103991,43.6191177262139,1.96393920854632,,,6.00830028413522,0.795561604174454
UMC,2017,5.36349627990565,2.83251269131515,34.4108444426956,44.7327115720683,1.77879092338886,,,6.01694360799605,0.800586206483316
UMC,2018,4.91536338812494,3.58314752957608,35.4651928596494,46.5311022437582,2.00626657454653,,,5.94220160006298,0.745062564115356
UMC,2019,4.20032824786712,2.97086495740704,35.0041443773449,44.6140731594082,1.69414629880722,,,6.07139046762074,0.666110611947599
UMC,2020,-0.379702218317149,2.0066422712009,35.7316260244866,42.6567911287372,1.70265820142486,,,6.75556740419309,0.536733852008647
UMC,2021,7.70448199039544,3.90194332353757,36.4842947285075,47.6181805542543,2.16952430681124,,,6.36904271221514,0.398949427804185
UMC,2022,3.45482027640853,,35.8470921491672,50.7033867956823,1.58070794354163,,,6.0139105551006,0.253684711043361
UMC,2023,4.58560028646708,,34.4989010145773,46.8657180267541,0.957960832329679,,,5.60542943795658,0.213509142909735
URY,1970,2.33321338074524,0.322386078932525,3.39622641509434,29.0943396226415,0.0996679198490566,16.3061449435998,,,0.604985221938376
