struct,nl,pers,eps,ej_t,acr_t,acp_t,ej_acr,d_real,d_pool,d_real_lo,d_real_hi,d_pool_lo,d_pool_hi,wilcoxon_p,n,degenerate_control
smooth-drift,med,medium,large,0.9642857142857146,0.955357142857143,0.9535714285714288,0.9910714285714286,0.00892857142857142,0.01071428571428571,0.0017857142857142794,0.017857142857142877,-0.028571428571428553,0.05535714285714281,0.6715664317280816,20,True
smooth-drift,med,medium,extreme,0.9232142857142861,0.9250000000000004,0.8785714285714288,0.9910714285714286,-0.001785714285714296,0.04464285714285714,-0.0071428571428571504,0.00535714285714281,0.00357142857142857,0.09285714285714286,0.08354325153658072,20,True
smooth-drift,med,long,small,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.017857142857142842,-0.041071428571428495,0.010714285714285727,0.3581208425163541,20,True
smooth-drift,med,long,med,0.955357142857143,0.9464285714285717,0.9696428571428573,0.9910714285714286,0.008928571428571407,-0.01428571428571424,0.0017857142857142737,0.017857142857142842,-0.0410714285714285,0.010714285714285737,0.3581208425163541,20,True
smooth-drift,med,long,large,0.9642857142857146,0.955357142857143,0.9535714285714288,0.9910714285714286,0.00892857142857142,0.01071428571428571,0.0017857142857142737,0.01785714285714287,-0.028571428571428532,0.05540178571428547,0.6715664317280816,20,True
smooth-drift,med,long,extreme,0.9232142857142861,0.9250000000000004,0.8785714285714288,0.9910714285714286,-0.001785714285714296,0.04464285714285714,-0.0071428571428571504,0.0035714285714285475,0.003571428571428603,0.09285714285714283,0.08354325153658072,20,True
smooth-drift,high,short,small,0.9357142857142863,0.9053571428571431,0.9357142857142862,0.9767857142857146,0.030357142857142888,2.7755575615628914e-17,0.0035714285714285752,0.0660714285714286,-0.03754464285714287,0.041071428571428606,0.7528545362773412,20,True
smooth-drift,high,short,med,0.9392857142857147,0.9125000000000002,0.9428571428571431,0.9767857142857146,0.02678571428571431,-0.003571428571428531,0.00357142857142857,0.05535714285714288,-0.04464285714285704,0.04107142857142862,0.6487424562127946,20,True
smooth-drift,high,short,large,0.9535714285714288,0.9446428571428575,0.9250000000000004,0.9767857142857146,0.008928571428571452,0.0285714285714286,-0.0071428571428570845,0.026785714285714322,-0.02321428571428564,0.1,0.5995101785600032,20,True
smooth-drift,high,short,extreme,0.9446428571428575,0.9428571428571433,0.8732142857142859,0.9767857142857146,0.0017857142857143238,0.07142857142857142,-0.014285714285714207,0.021428571428571457,0.019642857142857167,0.13571428571428568,0.022670105982661077,20,True
smooth-drift,high,medium,small,0.9357142857142863,0.9053571428571431,0.9357142857142862,0.9767857142857146,0.030357142857142888,2.7755575615628914e-17,0.0035714285714285865,0.06428571428571431,-0.03928571428571426,0.044642857142857165,0.7528545362773412,20,True
smooth-drift,high,medium,med,0.9392857142857147,0.9125000000000002,0.9428571428571431,0.9767857142857146,0.02678571428571431,-0.003571428571428531,0.003571428571428603,0.05535714285714288,-0.04642857142857137,0.041071428571428585,0.6487424562127946,20,True
smooth-drift,high,medium,large,0.9535714285714288,0.9446428571428575,0.9250000000000004,0.9767857142857146,0.008928571428571452,0.0285714285714286,-0.005357142857142822,0.028571428571428498,-0.023214285714285715,0.09285714285714286,0.5995101785600032,20,True
smooth-drift,high,medium,extreme,0.9446428571428575,0.9428571428571433,0.8732142857142859,0.9767857142857146,0.0017857142857143238,0.07142857142857142,-0.014285714285714207,0.019642857142857177,0.019642857142857163,0.13214285714285715,0.022670105982661077,20,True
smooth-drift,high,long,small,0.9357142857142863,0.9053571428571431,0.9357142857142862,0.9767857142857146,0.030357142857142888,2.7755575615628914e-17,0.003571428571428581,0.06785714285714287,-0.03749999999999997,0.04285714285714285,0.7528545362773412,20,True
smooth-drift,high,long,med,0.9392857142857147,0.9125000000000002,0.9428571428571431,0.9767857142857146,0.02678571428571431,-0.003571428571428531,0.0035714285714285865,0.053571428571428624,-0.044642857142857054,0.04111607142857125,0.6487424562127946,20,True
smooth-drift,high,long,large,0.9535714285714288,0.9446428571428575,0.9250000000000004,0.9767857142857146,0.008928571428571452,0.0285714285714286,-0.0054017857142856915,0.0267857142857143,-0.023214285714285642,0.09464285714285714,0.5995101785600032,20,True
smooth-drift,high,long,extreme,0.9446428571428575,0.9428571428571433,0.8732142857142859,0.9767857142857146,0.0017857142857143238,0.07142857142857142,-0.014285714285714207,0.02142857142857139,0.01785714285714287,0.13392857142857145,0.022670105982661077,20,True
persistent-switch,low,short,small,0.9875,0.9821428571428573,0.9750000000000002,0.9875000000000002,0.005357142857142822,0.012499999999999917,-0.0035714285714285475,0.01428571428571419,-0.0071428571428572285,0.0304017857142854,0.2036371467510687,20,False
persistent-switch,low,short,med,0.9857142857142858,0.980357142857143,0.9732142857142859,0.9875000000000002,0.005357142857142822,0.012499999999999928,-0.0035714285714285475,0.01428571428571419,-0.008928571428571435,0.03214285714285705,0.1962447266045112,20,False
persistent-switch,low,short,large,0.7642857142857145,0.7946428571428574,0.7482142857142858,0.9875000000000002,-0.0303571428571429,0.016071428571428525,-0.05892857142857148,-0.00535714285714291,-0.007142857142857184,0.03928571428571422,0.2930292591867747,20,False
persistent-switch,low,short,extreme,0.630357142857143,0.655357142857143,0.6071428571428573,0.9875000000000002,-0.025000000000000005,0.023214285714285694,-0.05535714285714288,0.001785714285714285,0.005357142857142855,0.04107142857142854,0.035861683775556624,20,False
